"name","sku","store_view_code","product_type","description","price","special_price","special_from_date","special_to_date","cost","weight","manufacturer","meta_title","meta_keywords","meta_description","base_image","small_image","thumbnail_image","old_id","tier_price","color","news_from_date","news_to_date","gallery","product_online","minimal_price","visibility","custom_design","custom_design_from","custom_design_to","custom_layout_update","page_layout","categories","product_websites","options_container","required_options","has_options","base_image_label","small_base_image_label","thumbnail_label","created_at","updated_at","country_of_manufacture","stock_status_status","custom_layout","custom_layout_update_file","price_type","sku_type","weight_type","price_view","shipment_type","url_key","url_path","msrp","msrp_display_actual_price_type","links_purchased_separately","samples_title","links_title","links_exist","giftcard_amounts","allow_open_amount","open_amount_min","open_amount_max","giftcard_type","is_redeemable","use_config_is_redeemable","lifetime","use_config_lifetime","email_template","use_config_email_template","allow_message","use_config_allow_message","related_tgtr_position_limit","related_tgtr_position_behavior","upsell_tgtr_position_limit","upsell_tgtr_position_behavior","tax_class_id","gift_message_available","gift_wrapping_available","gift_wrapping_price","is_returnable","swatch_image","brand","bed_size","tonneau_cover_type","step_bar_width","step_bar_pattern","finish","lighter_element","cab_type","console_type","floor_liner_type","number_of_pieces","seat_configuration","seat_location","armrest","seat_cover_material","rail_type","end_cap_color","bed_liner_type","vehicle_side","deflector_location","profile","camera","keypad","trailer_tow_mirrors","trim_kit_type","rack_application","mount_type","cargo_box_dimensions","splash_guard_decal","splash_guard_location","splash_guard_type","wheel_lip_molding","mirror_use","trailer_ball_size","scoop_location","stripe_location","stripe_kit_type","stripe_width","transmission_type","remote_start_type","confirmation","push_button_start","ford_perimeter_plus","suggested_list_price","supplier_name","dealer_net_price","oversize","mandatory_installation","install_time","logo","vehicle_disclaimer","tailgate_step","product_import_status","product_import_review_status","exclude_from_import","height","width","length","residualization_code","show_labor_cost_message","year_model","inactive_year_model","make","model","year"
"Trailer Hitch Drawbar - 1-1/4 Inch Drop / 4 Inch Rise","1L2Z-19A282-AA","ford_ca_en","simple","<p>This rugged drawbar is designed to be used with 1 &frac14;&rdquo; trailer hitch receivers. Place it in the 4&rdquo; &ldquo;rise&rdquo; position to match trailer coupler height.</p><ul><li>Solid steel shank&nbsp;</li><li>Heavy steel ball platform&nbsp;</li><li>Durable zinc-coated finish</li><li>See your dealer or Owners Guide for towing limitations</li></ul>","38.400000",,,,,"9.000000",,,,,"1L2Z19A282AA_0.jpg","1L2Z19A282AA_0.jpg","1L2Z19A282AA_0.jpg",,,,,,,"0",,"Catalog, Search",,,,,,"Default Category/Exterior,Default Category/Exterior/Hitches, Towing and Recovery","ford_ca","container2","0","0",,,,"12/16/2020 20:26:53.000000","03/07/2023 01:53:32.000000",,"In Stock",,,"0","0",,,,"trailer-hitch-drawbar-1-1-4-drop-4-rise-8670",,,"0",,,,,,,,,,,,,,,,,,,,,,"Taxable Goods","0","0",,"0","/1/l/1l2z-19a282-aa_lg.jpg",,,,,,,,,,,,,,,,,,,,,"Standard",,,,,,,,,,,,,,,,,,,,,,,,,"26.880000","0","0","0.100000",,,,"Reviewed","Processing Complete","1","15.500000","14.000000","7.500000",,"0","Ford_Edge_2007,Ford_Edge_2008,Ford_Edge_2009,Ford_Edge_2010,Ford_Escape_2007,Ford_Escape_2008,Ford_Escape_2009,Ford_Escape_2010,Ford_Escape_2011,Ford_Escape_2012,Lincoln_MKX_2007,Lincoln_MKX_2008,Lincoln_MKX_2009,Lincoln_MKX_2010",,"Ford,Lincoln","Edge,Escape,MKX","2007,2008,2009,2010,2011,2012"
"ASH TRAY","1L2Z-7804810-AAA","ford_ca_en","simple",,"84.190000",,,,,"0.920000",,,,,,,,,,,,,,"0",,"Catalog, Search",,,,,,"Default Category/Default Category/Uncategorized,Default Category,Default Category/Default Category","ford_us,ford_ca,lincoln_us","container2","0","0",,,,"12/10/2020 21:07:43.000000","09/29/2023 00:41:20.000000",,"In Stock",,,"0","0",,,,"ash-tray",,,"0",,,,,,,,,,,,,,,,,,,,,,"Taxable Goods","0","0",,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SUMMIT POLYMERS INC","58.930000","0","0","0.000000",,,,"Reviewed","Non Customer Item","0","8.625000","4.125000","7.250000",,"0",,"Ford_Escape_2006,Ford_Expedition_2006,Ford_Expedition_2007,Ford_Expedition_2008,Ford_Expedition_2009,Ford_Expedition_2010,Ford_Expedition_2011,Ford_Expedition_2012,Ford_Expedition_2013,Ford_Expedition_2014,Ford_Expedition_2015,Ford_Expedition_2016,Ford_Expedition_2017,Ford_Explorer_2006,Ford_Explorer_2007,Ford_Explorer_2008,Ford_Explorer_2009,Ford_Explorer_2010,Ford_F-150_2006,Ford_F-150_2007,Ford_F-150_2008,Ford_F-150_2009,Ford_F-150_2010,Ford_F-150_2011,Ford_F-150_2012,Ford_F-150_2013,Ford_F-150_2014,Lincoln_Mark LT_2007,Lincoln_Mark LT_2008",,,
"Cargo Organizer, Behind 2nd Row","1L2Z-78115A00-BA","ford_us_en","simple","Removable and adjustable divider system helps separate and organize your belongings. Made of premium-grade polyethylene, it installs easily in the cargo area with no tools required. Available in black only.OBSOLETE - 01/29/01","164.010000",,,,,"18.000000",,,,,,,,,,,,,,"0",,"Catalog, Search",,,,,,"Default Category","ford_ca,ford_us","container2","0","0",,,,"11/18/2022 14:05:47.000000","07/27/2023 04:32:57.000000",,"In Stock",,,"0","0",,,,"cargo-organizer,-behind-2nd-row-1l2z-78115a00-ba",,,"0",,,,,,,,,,,,,,,,,,,,,,"Taxable Goods","0","0",,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NEOCON INTERNATIONAL","114.810000","0","0",,,,,"Reviewed","Processing Complete","0","0.000000","0.000000","0.000000",,"0",,"Ford_Explorer_2009,Ford_Explorer_2010",,,
"ASH TRAY","1L2Z-9804810-AA","ford_us_en","simple",,"30.000000",,,,,"0.430000",,,,,,,,,,,,,,"0",,"Catalog, Search",,,,,,"Default Category/Default Category/Uncategorized,Default Category,Default Category/Default Category","ford_us,ford_ca","container2","0","0",,,,"12/10/2020 21:07:43.000000","09/29/2023 00:52:20.000000",,"In Stock",,,"0","0",,,,"ash-tray-8909",,,"0",,,,,,,,,,,,,,,,,,,,,,"Taxable Goods","0","0",,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SUMMIT POLYMERS INC","21.000000","0","0","0.000000",,,,"Reviewed","Non Customer Item","0","0.561000","10.500000","14.000000",,"0",,"Ford_Explorer_2006,Ford_Explorer_2007,Ford_Explorer_2008,Ford_Explorer_2009,Ford_Explorer_2010,Ford_Ranger_2006,Ford_Ranger_2007",,,
"Step Bars - Black O.E.","1L8Z-16450-AAA","ford_us_en","simple","<p>These original equipment step bars are generously wide for sure footing, even in a man-sized boot. Available in black finish.</p><ul><li>Easy no-drill installation.</li></ul>OBSOLETED  2/1/2023","490.000000",,,,,"42.200000",,,,,"1L8Z16450AAA_0.jpg","1L8Z16450AAA_0.jpg","1L8Z16450AAA_0.jpg",,,"Black",,,,"0",,"Catalog, Search",,,,,,"Default Category/Exterior,Default Category/Exterior/Running Boards, Step Bars and Rock Rails","ford_us,ford_ca","container2","0","0",,,,"09/08/2020 03:31:37.000000","09/06/2023 08:21:42.000000",,"In Stock",,,"0","0",,,,"black-oe-step-bars-8785",,,"0",,,,,,,,,,,,,,,,,,,,,,"Taxable Goods","0","0",,"1","no_selection",,,,,"Standard",,,,,,,,,,,,,,,,"Standard",,,,,,,,,,,,,,,,,,,,,,,,,"343.000000","1","0","0.800000",,,,"Reviewed","Processing Complete","0","7.000000","14.000000","59.000000",,"0","Ford_Escape_2006,Ford_Escape_2007","Ford_Escape Hybrid_2007","Ford","Escape","2006,2007"
"Splash Guards - Molded Front Pair","1L8Z-16A550-BA","ford_us_en","simple","<p>Deflect mud, snow and ice away to protect the finish on your lower body panels.</p><ul><li>Contoured design complement vehicle styling while providing excellent protection.</li></ul>","49.990000",,,,,"1.250000",,,,,,,,,,,,,,"0",,"Catalog, Search",,,,,,"Default Category/Exterior,Default Category/Exterior/Splash Guards","ford_us,ford_ca","container2","0","0",,,,"12/30/2020 02:19:58.000000","07/27/2023 04:33:13.000000",,"In Stock",,,"0","0",,,,"splash-guards-molded-front-pair",,,"0",,,,,,,,,,,,,,,,,,,,,,"Taxable Goods","0","0",,"0",,,,,,,,,,,,,,,,,,,,,,"Standard",,,,,,,,,"Front","Molded",,,,,,,,,,,,,,,"34.990000","0","0","0.300000",,,,"Reviewed","Processing Complete","0","6.500000","9.000000","14.500000",,"0","Ford_Escape Hybrid_2007,Ford_Escape_2007","Ford_Escape Hybrid_2006,Ford_Escape Hybrid_2008,Ford_Escape Hybrid_2009,Ford_Escape Hybrid_2010,Ford_Escape Hybrid_2011,Ford_Escape Hybrid_2012,Ford_Escape_2006,Ford_Escape_2008,Ford_Escape_2009,Ford_Escape_2010,Ford_Escape_2011,Ford_Escape_2012","Ford","Escape,Escape Hybrid","2007"
"Hood Deflector - Low Profile","1L8Z-16C900-EA","ford_us_en","simple","<p>Protect the edge of your hood from bugs, small stones and other debris that can chip away at your fine finish.</p><ul><li>Smoke-colored to complement any exterior color. </li><li>Easy to install.</li></ul>","92.860000",,,,,"4.000000",,,,,,,,,,,,,,"0",,"Catalog, Search",,,,,,"Default Category/Exterior,Default Category","ford_us,ford_ca","container2","0","0",,,,"12/30/2020 02:19:58.000000","07/27/2023 04:32:45.000000",,"In Stock",,,"0","0",,,,"low-profile-hood-deflector",,,"0",,,,,,,,,,,,,,,,,,,,,,"Taxable Goods","0","0",,"0",,,,,,,,,,,,,,,,,,,,,"Hood","Low-Profile",,,,,,,,,,,,,,,,,,,,,,,,,"65.000000","1","0","0.300000",,,,"Reviewed","Processing Complete","0","7.500000","9.500000","70.000000",,"0","Ford_Escape Hybrid_2006,Ford_Escape Hybrid_2007,Ford_Escape_2006,Ford_Escape_2007",,"Ford","Escape,Escape Hybrid","2006,2007"
"Zinc-Plated For Hidden Lugs","1L8Z-1A043-AA","ford_us_en","simple","For added protection against wheel theft, replace one lug nut on each wheel with wheel locks. Open-ended, zinc-plated locks available for hidden lugs. Kit includes four locks and key.Effected Out - 4/29/12","65.000000",,,,,"0.800000",,,,,,,,,,,,,,"0",,"Catalog, Search",,,,,,"Default Category","ford_ca,ford_us","container2","0","0",,,,"11/18/2022 14:05:47.000000","09/29/2023 00:52:29.000000",,"In Stock",,,"0","0",,,,"zinc-plated-for-hidden-lugs-1l8z-1a043-aa",,,"0",,,,,,,,,,,,,,,,,,,,,,"Taxable Goods","0","0",,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MCGARD INC","45.500000","0","0",,,,,"Reviewed","Processing Complete","0","0.000000","0.000000","0.000000",,"0",,,,,
"Moonroof Deflector","1L8Z-78500K16-AA","ford_us_en","simple","<p>This durable acrylic deflector helps reduce interior wind noise with the moonroof open. Subtle smoke color blends into the lines of your vehicle.</p>","65.000000",,,,,"2.550000",,,,,"1L8Z78500K16AA_0.jpg","1L8Z78500K16AA_0.jpg","1L8Z78500K16AA_0.jpg",,,,,,,"0",,"Catalog, Search",,,,,,"Default Category/Exterior/Covers, Deflectors, and Protectors,Default Category/Exterior","ford_us,ford_ca","container2","0","0",,,,"09/08/2020 03:31:37.000000","07/27/2023 04:37:45.000000",,"In Stock",,,"0","0",,,,"moonroof-deflector",,,"0",,,,,,,,,,,,,,,,,,,,,,"Taxable Goods","0","0",,"0",,,,,,,,,,,,,,,,,,,,,"Moonroof","Standard",,,,,,,,,,,,,,,,,,,,,,,,,"45.500000","1","0","0.300000",,,,"Disabled by Import","Processing Complete","0","3.580000","6.250000","40.500000",,"0","Ford_Escape Hybrid_2008,Ford_Escape Hybrid_2009,Ford_Escape Hybrid_2010,Ford_Escape Hybrid_2011,Ford_Escape Hybrid_2012,Ford_Escape_2007,Ford_Escape_2008,Ford_Escape_2009,Ford_Escape_2010,Ford_Escape_2011,Ford_Escape_2012","Ford_Escape Hybrid_2006,Ford_Escape Hybrid_2007,Ford_Escape_2006","Ford","Escape,Escape Hybrid","2007,2008,2009,2010,2011,2012"
"Rear Spoiler - Primed","1L8Z-78500K16-AAC","ford_us_en","simple","<p>Give your ride an extra flair of sporty good looks with this rear spoiler. It&rsquo;s primed and ready to paint to match the color of your vehicle.</p><ul><li>Dealer installation recommended.</li></ul>","335.000000",,,,,"4.500000",,,,,"1L8Z78500K16AAC_0.jpg","1L8Z78500K16AAC_0.jpg","1L8Z78500K16AAC_0.jpg",,,"Primed",,,,"1",,"Catalog, Search",,,,,,"Default Category/Exterior,Default Category/Exterior/Spoilers and Body Kits","ford_us,ford_ca","container2","0","0",,,,"09/08/2020 03:31:37.000000","09/29/2023 00:44:47.000000",,"In Stock",,,"0","0",,,,"rear-spoiler-primed-8793",,,"0",,,,,,,,,,,,,,,,,,,,,,"Taxable Goods","0","0",,"0",,,,,,,,,,,,,,,,,,,,,,"Standard",,,,,,,,,,,,,,,,,,,,,,,,,"234.500000","1","1","1.000000",,,,"Reviewed","Processing Complete","0","57.500000","11.250000","6.250000",,"0","Ford_Escape Hybrid_2006,Ford_Escape Hybrid_2007,Ford_Escape_2006,Ford_Escape_2007",,"Ford","Escape,Escape Hybrid","2006,2007"
